#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITGA8	ITGB6	9606.ENSP00000367316	9606.ENSP00000283249	0	0	0.720	0	0.720
ITGA8	ITGB5	9606.ENSP00000367316	9606.ENSP00000296181	0	0	0.720	0	0.720
ITGA8	ITGB3	9606.ENSP00000367316	9606.ENSP00000452786	0	0	0.720	0	0.720
ITGA8	ITGB1	9606.ENSP00000367316	9606.ENSP00000379350	0	0.564	0.900	0	0.954
ITGA9	ITGB1	9606.ENSP00000264741	9606.ENSP00000379350	0	0.573	0.900	0	0.955
ITGAV	ITGB4	9606.ENSP00000261023	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGAV	ITGB8	9606.ENSP00000261023	9606.ENSP00000222573	0	0.967	0.900	0	0.996
ITGAV	ITGB7	9606.ENSP00000261023	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGAV	ITGB5	9606.ENSP00000261023	9606.ENSP00000296181	0	0.457	0.900	0	0.943
ITGAV	ITGB1	9606.ENSP00000261023	9606.ENSP00000379350	0	0.457	0.900	0	0.943
ITGAV	ITGB6	9606.ENSP00000261023	9606.ENSP00000283249	0	0.967	0.900	0	0.996
ITGAV	ITGB3	9606.ENSP00000261023	9606.ENSP00000452786	0	0.960	0.900	0	0.995
ITGB1	ITGB4	9606.ENSP00000379350	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGB1	LAMB1	9606.ENSP00000379350	9606.ENSP00000222399	0	0.800	0.650	0	0.927
ITGB1	ITGB8	9606.ENSP00000379350	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGB1	LAMA5	9606.ENSP00000379350	9606.ENSP00000252999	0	0.800	0.650	0	0.927
ITGB1	LAMC1	9606.ENSP00000379350	9606.ENSP00000258341	0	0.900	0.650	0	0.963
ITGB1	ITGB7	9606.ENSP00000379350	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGB1	ITGB6	9606.ENSP00000379350	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGB1	ITGB5	9606.ENSP00000379350	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGB1	LAMA1	9606.ENSP00000379350	9606.ENSP00000374309	0	0.292	0.650	0	0.741
ITGB1	ITGB3	9606.ENSP00000379350	9606.ENSP00000452786	0	0.226	0.900	0	0.919
ITGB3	ITGB4	9606.ENSP00000452786	9606.ENSP00000200181	0	0	0.720	0	0.720
ITGB3	ITGB8	9606.ENSP00000452786	9606.ENSP00000222573	0	0	0.900	0	0.900
ITGB3	VTN	9606.ENSP00000452786	9606.ENSP00000226218	0	0	0.720	0	0.720
ITGB3	THBS1	9606.ENSP00000452786	9606.ENSP00000260356	0	0.457	0.500	0	0.716
ITGB3	ITGB7	9606.ENSP00000452786	9606.ENSP00000267082	0	0	0.900	0	0.900
ITGB3	ITGB6	9606.ENSP00000452786	9606.ENSP00000283249	0	0	0.900	0	0.900
ITGB3	ITGB5	9606.ENSP00000452786	9606.ENSP00000296181	0	0	0.900	0	0.900
ITGB4	ITGB8	9606.ENSP00000200181	9606.ENSP00000222573	0	0	0.720	0	0.720
ITGB4	ITGB7	9606.ENSP00000200181	9606.ENSP00000267082	0	0	0.720	0	0.720
ITGB4	ITGB6	9606.ENSP00000200181	9606.ENSP00000283249	0	0	0.720	0	0.720
