"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB5","m = 0.06760 
 p = 16.79118","m = 0.08554 
 p = 18.97751","m = 0.14957 
 p = 21.60009","m = 0.09673 
 p = 13.81088","m = 0.01874 
 p = 3.55212","m = 0.06425 
 p = 7.97855","m = 0.08890 
 p = 16.65090","m = 0.03627 
 p = 6.05557","m = 0.15048 
 p = 31.03829","m = 0.14931 
 p = 22.73364","m = 0.00580 
 p = 0.91485","m = 0.01515 
 p = 1.51106"
"CDC42","m = 0.09208 
 p = 21.29555","m = 0.09172 
 p = 20.10854","m = 0.12017 
 p = 18.07758","m = 0.35385 
 p = 42.63108","m = 0.27813 
 p = 38.30116","m = 0.15727 
 p = 19.47071","m = 0.18986 
 p = 33.77483","m = 0.12818 
 p = 16.49049","m = 0.13255 
 p = 30.50260","m = 0.29944 
 p = 41.69681","m = 0.29060 
 p = 33.72924","m = 0.09204 
 p = 9.17431"
"RAF1","m = 0.32632 
 p = 54.62743","m = 0.29849 
 p = 51.52326","m = 0.16942 
 p = 24.56919","m = 0.10583 
 p = 15.32337","m = 0.13831 
 p = 21.38996","m = 0.13947 
 p = 16.58715","m = 0.12575 
 p = 24.31410","m = 0.17130 
 p = 21.62489","m = 0.21374 
 p = 43.17000","m = 0.16894 
 p = 26.87745","m = 0.11139 
 p = 13.61849","m = 0.15261 
 p = 14.78683"
"ACTB","m = 0.53524 
 p = 64.26129","m = 0.45981 
 p = 62.35331","m = 0.38949 
 p = 42.42584","m = 1.00000 
 p = 72.48850","m = 0.54490 
 p = 50.88803","m = 0.55459 
 p = 40.16234","m = 0.66077 
 p = 64.23841","m = 0.35124 
 p = 34.20417","m = 0.18901 
 p = 32.51930","m = 0.85727 
 p = 63.19177","m = 0.92160 
 p = 61.74063","m = 0.06683 
 p = 6.69185"
"ACTN4","m = 0.32919 
 p = 52.00932","m = 0.30815 
 p = 51.72985","m = 0.11122 
 p = 17.31122","m = 0.37227 
 p = 44.29033","m = 0.20520 
 p = 30.50193","m = 0.18908 
 p = 22.50055","m = 0.21519 
 p = 36.32923","m = 0.10026 
 p = 13.92329","m = 0.22914 
 p = 41.76776","m = 0.11794 
 p = 20.38657","m = 0.17908 
 p = 22.12102","m = 0.11496 
 p = 11.38694"
"PIK3R1","m = 0.30913 
 p = 47.50278","m = 0.49689 
 p = 64.53883","m = 0.31223 
 p = 37.09174","m = 0.05062 
 p = 7.60960","m = 0.12266 
 p = 18.61004","m = 0.08422 
 p = 9.97772","m = 0.18339 
 p = 26.77389","m = 0.42994 
 p = 43.38568","m = 0.47116 
 p = 60.81613","m = 0.30447 
 p = 39.24280","m = 0.34333 
 p = 35.75556","m = 0.30675 
 p = 28.54830"
"PIK3CA","m = 0.11474 
 p = 25.77378","m = 0.09434 
 p = 20.53170","m = 0.16031 
 p = 22.55043","m = 0.09438 
 p = 13.47249","m = 0.15436 
 p = 22.77992","m = 0.14381 
 p = 16.33953","m = 0.11455 
 p = 20.15137","m = 0.11807 
 p = 15.56931","m = 0.18594 
 p = 37.56105","m = 0.13884 
 p = 21.69331","m = 0.09381 
 p = 11.09462","m = 0.23023 
 p = 21.91042"
"ITGB1","m = 0.30325 
 p = 50.97689","m = 0.26216 
 p = 46.12973","m = 0.28074 
 p = 36.46590","m = 0.45141 
 p = 50.56918","m = 0.39572 
 p = 47.95367","m = 0.47955 
 p = 47.29571","m = 0.22729 
 p = 37.08609","m = 0.27285 
 p = 31.69737","m = 0.30519 
 p = 52.85962","m = 0.21394 
 p = 33.63474","m = 0.21863 
 p = 26.04927","m = 0.05418 
 p = 5.72045"
"TLN1","m = 0.08132 
 p = 20.19777","m = 0.05210 
 p = 12.30559","m = 0.08529 
 p = 14.22694","m = 0.10825 
 p = 16.63891","m = 0.13594 
 p = 22.39382","m = 0.13833 
 p = 17.55567","m = 0.09778 
 p = 21.85430","m = 0.10423 
 p = 13.98369","m = 0.09577 
 p = 23.05026","m = 0.16646 
 p = 27.74472","m = 0.12747 
 p = 16.60380","m = 0.04589 
 p = 4.58716"
"MAPK8","m = 0.26792 
 p = 46.04343","m = 0.22198 
 p = 40.19558","m = 0.17425 
 p = 23.40879","m = 0.10880 
 p = 14.02988","m = 0.15493 
 p = 20.61776","m = 0.12875 
 p = 14.19215","m = 0.15258 
 p = 24.21949","m = 0.16748 
 p = 20.02416","m = 0.23399 
 p = 43.34331","m = 0.15270 
 p = 22.18333","m = 0.12125 
 p = 13.53423","m = 0.16357 
 p = 15.43443"
"PTK2","m = 0.39484 
 p = 59.16883","m = 0.36836 
 p = 58.34933","m = 0.43085 
 p = 49.79465","m = 0.32177 
 p = 35.01844","m = 0.43933 
 p = 51.19691","m = 0.44775 
 p = 45.22674","m = 0.35939 
 p = 45.03311","m = 0.50997 
 p = 50.43793","m = 0.40942 
 p = 62.42319","m = 0.22625 
 p = 30.25901","m = 0.02382 
 p = 2.89303","m = 0.26053 
 p = 24.44684"
"CRKL","m = 0.02760 
 p = 7.62998","m = 0.02930 
 p = 7.23192","m = 0.03242 
 p = 5.72381","m = 0.02459 
 p = 4.18919","m = 0.03843 
 p = 6.17761","m = 0.02172 
 p = 2.87400","m = 0.03331 
 p = 9.46074","m = 0.02687 
 p = 3.85080","m = 0.04130 
 p = 11.28092","m = 0.03511 
 p = 6.81562","m = 0.02847 
 p = 3.86004","m = 0.02134 
 p = 2.21263"
