"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CRK","m = 0.08130 
 p = 19.38098","m = 0.10610 
 p = 22.60920","m = 0.09177 
 p = 14.58766","m = 0.15080 
 p = 21.91856","m = 0.12412 
 p = 19.61390","m = 0.09248 
 p = 11.76083","m = 0.09404 
 p = 20.43519","m = 0.08925 
 p = 12.05074","m = 0.22627 
 p = 42.83914","m = 0.15160 
 p = 24.41567","m = 0.05853 
 p = 7.55557","m = 0.07469 
 p = 7.44738"
"ITGAV","m = 0.22591 
 p = 41.63490","m = 0.30771 
 p = 51.23014","m = 0.17918 
 p = 24.59020","m = 0.12723 
 p = 17.04802","m = 0.19913 
 p = 27.41313","m = 0.05451 
 p = 7.15631","m = 0.13751 
 p = 22.42195","m = 0.21722 
 p = 25.61160","m = 0.19558 
 p = 36.80479","m = 0.12475 
 p = 19.77404","m = 0.03833 
 p = 4.93540","m = 0.07098 
 p = 7.06962"
"ITGB5","m = 0.06760 
 p = 16.79118","m = 0.08554 
 p = 18.97751","m = 0.14957 
 p = 21.60009","m = 0.09673 
 p = 13.81088","m = 0.01874 
 p = 3.55212","m = 0.06425 
 p = 7.97855","m = 0.08890 
 p = 16.65090","m = 0.03627 
 p = 6.05557","m = 0.15048 
 p = 31.03829","m = 0.14931 
 p = 22.73364","m = 0.00580 
 p = 0.91485","m = 0.01515 
 p = 1.51106"
"CDC42","m = 0.09208 
 p = 21.29555","m = 0.09172 
 p = 20.10854","m = 0.12017 
 p = 18.07758","m = 0.35385 
 p = 42.63108","m = 0.27813 
 p = 38.30116","m = 0.15727 
 p = 19.47071","m = 0.18986 
 p = 33.77483","m = 0.12818 
 p = 16.49049","m = 0.13255 
 p = 30.50260","m = 0.29944 
 p = 41.69681","m = 0.29060 
 p = 33.72924","m = 0.09204 
 p = 9.17431"
"MYH9","m = 0.27986 
 p = 44.83239","m = 0.27240 
 p = 45.01809","m = 0.15032 
 p = 21.74858","m = 0.43423 
 p = 49.48937","m = 0.26983 
 p = 38.45560","m = 0.33805 
 p = 36.90687","m = 0.17357 
 p = 29.13907","m = 0.09851 
 p = 13.56086","m = 0.12419 
 p = 26.57949","m = 0.21682 
 p = 33.45001","m = 0.31979 
 p = 35.49474","m = 0.13660 
 p = 13.43767"
"KRAS","m = 0.04049 
 p = 10.42452","m = 0.04230 
 p = 9.93446","m = 0.06205 
 p = 10.11264","m = 0.14203 
 p = 20.86309","m = 0.12054 
 p = 19.15058","m = 0.04540 
 p = 6.21265","m = 0.07675 
 p = 16.27247","m = 0.05635 
 p = 8.13953","m = 0.05932 
 p = 15.23554","m = 0.11901 
 p = 20.42935","m = 0.10731 
 p = 13.99165","m = 0.05007 
 p = 5.07285"
"MYH10","m = 0.10218 
 p = 23.17092","m = 0.08143 
 p = 18.06565","m = 0.13995 
 p = 19.73561","m = 0.05862 
 p = 8.54796","m = 0.14872 
 p = 22.08494","m = 0.04638 
 p = 5.45734","m = 0.16176 
 p = 27.15232","m = 0.06876 
 p = 9.83087","m = 0.10830 
 p = 24.83063","m = 0.01181 
 p = 2.22650","m = 0.01464 
 p = 1.86983","m = 0.11040 
 p = 10.57744"
"ACTB","m = 0.53524 
 p = 64.26129","m = 0.45981 
 p = 62.35331","m = 0.38949 
 p = 42.42584","m = 1.00000 
 p = 72.48850","m = 0.54490 
 p = 50.88803","m = 0.55459 
 p = 40.16234","m = 0.66077 
 p = 64.23841","m = 0.35124 
 p = 34.20417","m = 0.18901 
 p = 32.51930","m = 0.85727 
 p = 63.19177","m = 0.92160 
 p = 61.74063","m = 0.06683 
 p = 6.69185"
"ACTN4","m = 0.32919 
 p = 52.00932","m = 0.30815 
 p = 51.72985","m = 0.11122 
 p = 17.31122","m = 0.37227 
 p = 44.29033","m = 0.20520 
 p = 30.50193","m = 0.18908 
 p = 22.50055","m = 0.21519 
 p = 36.32923","m = 0.10026 
 p = 13.92329","m = 0.22914 
 p = 41.76776","m = 0.11794 
 p = 20.38657","m = 0.17908 
 p = 22.12102","m = 0.11496 
 p = 11.38694"
"ABI2","m = 0.23066 
 p = 43.76511","m = 0.19763 
 p = 38.03891","m = 0.19349 
 p = 27.05516","m = 0.10250 
 p = 14.83822","m = 0.13751 
 p = 20.30888","m = 0.25228 
 p = 27.54582","m = 0.13462 
 p = 25.35478","m = 0.11551 
 p = 15.35790","m = 0.14059 
 p = 30.45533","m = 0.09464 
 p = 15.36577","m = 0.04770 
 p = 6.27558","m = 0.05396 
 p = 5.50459"
"PIK3R1","m = 0.30913 
 p = 47.50278","m = 0.49689 
 p = 64.53883","m = 0.31223 
 p = 37.09174","m = 0.05062 
 p = 7.60960","m = 0.12266 
 p = 18.61004","m = 0.08422 
 p = 9.97772","m = 0.18339 
 p = 26.77389","m = 0.42994 
 p = 43.38568","m = 0.47116 
 p = 60.81613","m = 0.30447 
 p = 39.24280","m = 0.34333 
 p = 35.75556","m = 0.30675 
 p = 28.54830"
"PIK3CA","m = 0.11474 
 p = 25.77378","m = 0.09434 
 p = 20.53170","m = 0.16031 
 p = 22.55043","m = 0.09438 
 p = 13.47249","m = 0.15436 
 p = 22.77992","m = 0.14381 
 p = 16.33953","m = 0.11455 
 p = 20.15137","m = 0.11807 
 p = 15.56931","m = 0.18594 
 p = 37.56105","m = 0.13884 
 p = 21.69331","m = 0.09381 
 p = 11.09462","m = 0.23023 
 p = 21.91042"
"ITGB1","m = 0.30325 
 p = 50.97689","m = 0.26216 
 p = 46.12973","m = 0.28074 
 p = 36.46590","m = 0.45141 
 p = 50.56918","m = 0.39572 
 p = 47.95367","m = 0.47955 
 p = 47.29571","m = 0.22729 
 p = 37.08609","m = 0.27285 
 p = 31.69737","m = 0.30519 
 p = 52.85962","m = 0.21394 
 p = 33.63474","m = 0.21863 
 p = 26.04927","m = 0.05418 
 p = 5.72045"
"NCKAP1","m = 0.32419 
 p = 52.39267","m = 0.26207 
 p = 45.89534","m = 0.26827 
 p = 35.63507","m = 0.25463 
 p = 33.08772","m = 0.30249 
 p = 40.92664","m = 0.19155 
 p = 22.46039","m = 0.20972 
 p = 33.39640","m = 0.20694 
 p = 25.32468","m = 0.29211 
 p = 51.83551","m = 0.01408 
 p = 2.71652","m = 0.01252 
 p = 1.74946","m = 0.11264 
 p = 11.00917"
"PAK2","m = 0.16372 
 p = 33.52138","m = 0.13498 
 p = 27.82182","m = 0.15251 
 p = 22.55550","m = 0.17519 
 p = 24.94582","m = 0.27542 
 p = 38.22394","m = 0.10461 
 p = 12.95593","m = 0.13231 
 p = 24.31410","m = 0.18069 
 p = 22.56116","m = 0.24638 
 p = 44.96613","m = 0.29078 
 p = 41.75709","m = 0.17082 
 p = 20.78084","m = 0.17349 
 p = 16.89153"
"WASL","m = 0.13100 
 p = 29.13463","m = 0.11667 
 p = 25.00708","m = 0.10629 
 p = 16.86647","m = 0.08844 
 p = 13.92723","m = 0.09415 
 p = 16.37066","m = 0.08197 
 p = 10.53512","m = 0.08940 
 p = 19.58373","m = 0.07669 
 p = 10.94835","m = 0.14014 
 p = 31.57397","m = 0.09792 
 p = 16.61611","m = 0.04488 
 p = 5.79007","m = 0.06271 
 p = 6.36805"
"PTK2","m = 0.39484 
 p = 59.16883","m = 0.36836 
 p = 58.34933","m = 0.43085 
 p = 49.79465","m = 0.32177 
 p = 35.01844","m = 0.43933 
 p = 51.19691","m = 0.44775 
 p = 45.22674","m = 0.35939 
 p = 45.03311","m = 0.50997 
 p = 50.43793","m = 0.40942 
 p = 62.42319","m = 0.22625 
 p = 30.25901","m = 0.02382 
 p = 2.89303","m = 0.26053 
 p = 24.44684"
"CRKL","m = 0.02760 
 p = 7.62998","m = 0.02930 
 p = 7.23192","m = 0.03242 
 p = 5.72381","m = 0.02459 
 p = 4.18919","m = 0.03843 
 p = 6.17761","m = 0.02172 
 p = 2.87400","m = 0.03331 
 p = 9.46074","m = 0.02687 
 p = 3.85080","m = 0.04130 
 p = 11.28092","m = 0.03511 
 p = 6.81562","m = 0.02847 
 p = 3.86004","m = 0.02134 
 p = 2.21263"
"BRAF","m = 0.35438 
 p = 56.34380","m = 0.37196 
 p = 58.75046","m = 0.30624 
 p = 38.54044","m = 0.16359 
 p = 20.33611","m = 0.31561 
 p = 39.84556","m = 0.23676 
 p = 25.49215","m = 0.24981 
 p = 35.28855","m = 0.26875 
 p = 31.04802","m = 0.34069 
 p = 56.94029","m = 0.25322 
 p = 34.57201","m = 0.20641 
 p = 22.43399","m = 0.28093 
 p = 26.01187"
